Unnamed: 0,Name,Location,Year,Kilometers_Driven,Owner_Type,Seats,Price,New Price in Lakhs,Mileage in km/kg,Engine in CC,Power in bhp,Diesel Fuel,Petrol Fuel,Manual Transmission,Automatic Transmission,Kilometers per year
30,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,First,5.0,7.75,23.281830466830467,22.364705882352943,1461,108.45,1,0,1,0,5166.666666666667
31,Toyota Corolla Altis G,Delhi,2012,87615,First,5.0,6.75,23.281830466830467,19.37333333333333,1798,138.1,0,1,1,0,6739.615384615385
32,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Second,7.0,12.5,23.281830466830467,13.152941176470588,2696,184.0,1,0,0,1,6000.0
33,Audi A6 2.7 TDI,Kolkata,2010,35000,First,5.0,11.5,23.281830466830467,14.588235294117649,2698,179.5,1,0,0,1,2333.3333333333335
34,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Second,5.0,6.98,12.33,21.453333333333333,1598,103.5,0,1,1,0,5039.181818181818
35,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Second,5.0,1.85,23.281830466830467,18.666666666666668,1061,64.0,0,1,1,0,5238.5
36,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,First,5.0,8.63,11.12,28.58823529411765,1248,88.5,1,0,1,0,7153.571428571428
37,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,First,5.0,4.85,23.281830466830467,24.2,1198,82.0,0,1,1,0,6500.0
38,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,First,5.0,28.0,23.281830466830467,13.811764705882354,2987,254.8,1,0,0,1,7083.333333333333
39,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,First,5.0,5.0,23.281830466830467,25.96470588235294,1199,73.9,1,0,1,0,5166.666666666667
40,Maruti Alto LXi,Delhi,2008,90000,Second,5.0,1.25,23.281830466830467,26.266666666666666,796,46.3,0,1,1,0,5294.117647058823
41,Tata Nano LX SE,Kochi,2014,19698,First,4.0,1.53,23.281830466830467,33.86666666666667,624,37.5,0,1,1,0,1790.7272727272727
42,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,First,6.0,5.58,23.281830466830467,29.788235294117648,1198,77.0,1,0,1,0,2754.125
43,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,First,5.0,4.74,23.281830466830467,24.666666666666668,1197,82.9,0,1,1,0,3226.090909090909
44,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,First,5.0,8.85,23.64,19.493333333333332,1999,149.92,0,1,0,1,4215.818181818182
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,First,5.0,10.11,23.281830466830467,19.04,1798,138.03,0,1,0,1,5777.888888888889
46,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Second,5.0,4.25,23.281830466830467,17.529411764705884,1991,112.2,1,0,1,0,3412.0588235294117
47,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,First,7.0,10.95,18.64,15.0,2694,163.7,0,1,1,0,5438.7692307692305
48,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,First,5.0,3.85,23.281830466830467,28.705882352941174,1120,71.0,1,0,1,0,6818.181818181818
49,Mahindra Thar CRDe AC,Jaipur,2012,75800,Second,6.0,5.5,23.281830466830467,19.47058823529412,2498,105.0,1,0,1,0,5830.7692307692305
50,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,First,5.0,21.43,23.281830466830467,20.129411764705882,1968,174.33,1,0,0,1,1364.8
51,Maruti Swift LDI,Delhi,2014,52000,First,5.0,4.25,23.281830466830467,26.941176470588236,1248,74.0,1,0,1,0,4727.272727272727
52,Maruti Swift Ldi BSIV,Kolkata,2014,53000,First,5.0,3.3,23.281830466830467,20.941176470588236,1248,75.0,1,0,1,0,4818.181818181818
53,Maruti Swift VDI,Delhi,2013,65650,First,5.0,3.85,23.281830466830467,33.411764705882355,1248,74.0,1,0,1,0,5470.833333333333
54,Hyundai Grand i10 Sportz,Chennai,2015,54000,Third,5.0,3.6,23.281830466830467,25.2,1197,82.0,0,1,1,0,5400.0
55,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,First,5.0,3.99,23.281830466830467,20.05333333333333,1598,103.2,0,1,1,0,3900.0
56,Renault KWID RXT,Kochi,2017,16542,First,5.0,3.3,23.281830466830467,33.56,799,53.3,0,1,1,0,2067.75
57,Hyundai i10 Asta,Kolkata,2010,32000,First,5.0,2.07,23.281830466830467,27.146666666666665,1197,78.9,0,1,1,0,2133.3333333333335
58,Nissan X-Trail SLX AT,Hyderabad,2010,121812,First,5.0,7.75,23.281830466830467,9.49,1995,147.6,1,0,0,1,8120.8
59,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,First,5.0,2.25,23.281830466830467,24.266666666666666,998,67.1,0,1,1,0,2620.0
60,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,First,8.0,16.5,19.34,16.094117647058823,2393,147.8,1,0,1,0,2750.0
61,Ford Figo Diesel Titanium,Bangalore,2010,72000,First,5.0,2.75,23.281830466830467,23.529411764705884,1399,68.0,1,0,1,0,4800.0
62,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,First,5.0,26.7,23.281830466830467,15.653333333333334,1796,186.0,0,1,0,1,5800.0
63,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Second,5.0,10.0,23.281830466830467,18.58823529411765,2148,170.0,1,0,1,0,4642.857142857143
64,Tata Indica V2 eLS,Chennai,2016,178000,First,5.0,2.5,23.281830466830467,29.411764705882355,1396,69.0,1,0,1,0,19777.777777777777
65,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,First,5.0,13.5,23.281830466830467,19.47058823529412,1968,140.0,1,0,0,1,5051.076923076923
66,Honda City ZX CVT,Mumbai,2007,63000,Second,5.0,1.85,23.281830466830467,21.866666666666664,1497,78.0,0,1,0,1,3500.0
67,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,First,5.0,35.67,49.14,0.0,1950,194.0,1,0,0,1,2561.5
68,Maruti Ertiga SHVS VDI,Pune,2016,63000,First,7.0,8.15,23.281830466830467,28.847058823529412,1248,88.5,1,0,1,0,7000.0
69,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,First,5.0,10.5,11.81,26.000000000000004,1396,88.7,1,0,1,0,1857.142857142857
70,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,First,5.0,14.5,23.281830466830467,11.333333333333334,4806,500.0,0,1,0,1,4294.117647058823
71,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,First,7.0,9.65,23.281830466830467,17.764705882352942,2179,140.0,1,0,1,0,5572.9
72,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,First,5.0,3.48,23.281830466830467,22.599999999999998,1197,78.9,0,1,0,1,3475.230769230769
73,Nissan Terrano XV D Pre,Kochi,2015,56066,First,5.0,6.92,16.65,23.105882352941176,1461,108.5,1,0,1,0,5606.6
74,Honda Brio VX AT,Coimbatore,2016,37300,Second,5.0,6.46,23.281830466830467,22.0,1198,86.8,0,1,0,1,4144.444444444444
75,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Second,5.0,29.5,23.281830466830467,21.8,1968,187.74,1,0,0,1,5090.909090909091
77,Toyota Innova 2.0 G1,Chennai,2006,230000,Third,8.0,4.5,23.281830466830467,16.533333333333335,1998,132.0,0,1,1,0,12105.263157894737
78,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,First,7.0,11.75,23.281830466830467,15.058823529411766,2494,102.0,1,0,1,0,8000.0
80,Maruti Swift VDI,Jaipur,2012,95100,First,5.0,3.75,23.281830466830467,26.941176470588236,1248,74.0,1,0,1,0,7315.384615384615
81,Tata Zest Revotron 1.2T XE,Pune,2017,70000,First,5.0,4.5,6.67,23.426666666666666,1193,88.7,0,1,1,0,8750.0
82,Honda Amaze SX i-VTEC,Kochi,2016,54944,First,5.0,4.82,23.281830466830467,24.0,1198,86.7,0,1,1,0,6104.888888888889
83,Ford Figo Diesel ZXI,Hyderabad,2012,70337,First,5.0,2.8,23.281830466830467,23.529411764705884,1399,68.0,1,0,1,0,5410.538461538462
84,Maruti Ritz VDi,Jaipur,2013,99638,First,5.0,3.11,23.281830466830467,27.294117647058822,1248,73.94,1,0,1,0,8303.166666666666
85,Honda City i VTEC E,Delhi,2009,52000,First,5.0,3.25,23.281830466830467,23.733333333333334,1497,117.3,0,1,1,0,3250.0
86,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Second,5.0,13.9,23.281830466830467,19.68235294117647,1995,218.0,1,0,0,1,5357.142857142857
87,Hyundai i10 Sportz 1.2,Pune,2009,95980,First,5.0,2.25,23.281830466830467,27.146666666666665,1197,78.9,0,1,1,0,5998.75
88,Hyundai Grand i10 Sportz,Bangalore,2016,16000,First,5.0,5.75,23.281830466830467,25.2,1197,82.0,0,1,1,0,1777.7777777777778
90,Honda Amaze SX i-VTEC,Mumbai,2016,18949,First,5.0,5.0,23.281830466830467,23.733333333333334,1198,86.7,0,1,1,0,2105.4444444444443
91,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,First,7.0,16.5,23.281830466830467,15.294117647058824,2982,168.5,1,0,1,0,9727.272727272728
92,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,First,5.0,39.58,23.281830466830467,20.8,1968,174.33,1,0,0,1,6909.571428571428
93,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,First,5.0,5.5,23.281830466830467,26.705882352941178,1498,89.84,1,0,1,0,4750.0
94,Mahindra XUV500 W8 2WD,Delhi,2014,58000,First,7.0,8.1,23.281830466830467,17.764705882352942,2179,140.0,1,0,1,0,5272.727272727273
95,Honda Amaze SX i-DTEC,Kolkata,2015,30000,First,5.0,3.5,23.281830466830467,30.35294117647059,1498,98.6,1,0,1,0,3000.0
96,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,First,5.0,2.79,23.281830466830467,25.96470588235294,1199,73.9,1,0,1,0,2851.0
97,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,First,5.0,3.45,23.281830466830467,19.058823529411764,1493,110.0,1,0,1,0,4666.8
98,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,First,5.0,4.45,23.281830466830467,25.2,998,67.1,0,1,1,0,6888.888888888889
99,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,First,5.0,2.65,23.281830466830467,20.346666666666668,1598,103.5,0,1,1,0,4133.4
100,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Second,5.0,3.8,23.281830466830467,27.058823529411764,1396,90.0,1,0,1,0,5639.857142857143
101,Hyundai i20 Asta 1.2,Mumbai,2014,30180,First,5.0,4.65,23.281830466830467,24.666666666666668,1197,82.85,0,1,1,0,2743.6363636363635
102,Datsun GO Plus T Petrol,Pune,2017,32851,First,7.0,3.95,6.45,26.439999999999998,1198,67.0,0,1,1,0,4106.375
103,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,First,5.0,9.8,23.281830466830467,17.576470588235296,2967,241.4,1,0,0,1,2000.0
104,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Second,5.0,2.7,23.281830466830467,22.666666666666668,1197,80.0,0,1,1,0,4125.0
105,Maruti Omni 5 Str STD,Coimbatore,2010,93850,First,5.0,2.41,23.281830466830467,18.666666666666668,796,35.0,0,1,1,0,6256.666666666667
106,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,First,5.0,3.9,6.41,23.613333333333333,1197,78.9,0,1,1,0,4818.181818181818
107,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Second,5.0,24.0,23.281830466830467,17.341176470588238,2993,270.9,1,0,0,1,5571.428571428572
108,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Second,7.0,5.75,23.281830466830467,18.823529411764707,2179,140.0,1,0,1,0,5000.0
109,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,First,5.0,5.25,23.281830466830467,26.258823529411767,1582,126.32,1,0,0,1,3636.3636363636365
110,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,First,7.0,19.25,27.0,13.364705882352942,2755,171.5,1,0,0,1,3750.0
111,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,First,5.0,3.91,5.13,20.133333333333333,1196,73.0,0,1,1,0,4756.625
112,Tata Nano Twist XT,Bangalore,2014,25500,First,4.0,2.15,23.281830466830467,33.86666666666667,624,37.5,0,1,1,0,2318.181818181818
113,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,First,5.0,20.75,54.43,26.694117647058825,1995,190.0,1,0,0,1,5608.7
114,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,First,5.0,3.35,23.281830466830467,18.0,1799,130.0,0,1,1,0,4739.2
115,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,First,7.0,11.11,23.281830466830467,15.282352941176471,2494,100.6,1,0,1,0,5000.0
116,Volvo V40 Cross Country D3,Bangalore,2014,32700,First,5.0,20.0,23.281830466830467,27.411764705882355,1984,150.0,1,0,0,1,2972.7272727272725
117,Nissan Micra XV CVT,Coimbatore,2016,39882,First,5.0,6.55,9.51,25.53333333333333,1198,75.94,0,1,0,1,4431.333333333333
118,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,First,5.0,7.0,23.281830466830467,14.4,2497,215.0,0,1,0,1,8000.0
119,Maruti Vitara Brezza VDi,Mumbai,2016,55000,First,5.0,7.5,9.96,28.58823529411765,1248,88.5,1,0,1,0,6111.111111111111
121,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Second,5.0,16.75,23.281830466830467,17.647058823529413,2143,107.3,1,0,0,1,4886.636363636364
122,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,First,5.0,10.95,14.44,25.88235294117647,1582,126.2,1,0,1,0,1464.2857142857142
123,Maruti Wagon R LXI BS IV,Pune,2011,43874,First,5.0,2.45,23.281830466830467,25.2,998,67.1,0,1,1,0,3133.8571428571427
124,Tata Nano XTA,Coimbatore,2017,32684,First,4.0,3.23,23.281830466830467,29.2,624,37.48,0,1,0,1,4085.5
125,Mahindra Scorpio VLX,Kolkata,2014,42000,First,8.0,7.75,23.281830466830467,14.176470588235295,2179,120.0,1,0,1,0,3818.181818181818
126,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,First,5.0,9.35,23.281830466830467,15.6,1796,178.0,0,1,0,1,1772.0
128,Honda CR-V 2.4 MT,Bangalore,2007,47700,Second,5.0,5.25,23.281830466830467,14.4,2354,152.0,0,1,1,0,2650.0
129,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,First,5.0,7.25,23.281830466830467,24.95294117647059,1498,103.2,1,0,0,1,5500.0
130,Maruti Ciaz VXi Plus,Kochi,2017,44285,First,5.0,7.47,23.281830466830467,27.64,1373,91.1,0,1,1,0,5535.625
131,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,First,7.0,13.25,23.281830466830467,18.823529411764707,2179,140.0,1,0,0,1,6000.0
132,Maruti Ritz VXI ABS,Coimbatore,2016,30232,First,5.0,5.81,23.281830466830467,28.133333333333336,1197,85.8,0,1,1,0,3359.1111111111113
133,Maruti Alto K10 VXI,Hyderabad,2014,88500,First,5.0,2.6,4.53,32.093333333333334,998,67.1,0,1,1,0,8045.454545454545
134,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,First,2.0,54.0,95.04,25.333333333333332,2996,362.07,0,1,0,1,1671.5
135,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,First,5.0,11.5,13.49,22.666666666666668,1591,121.3,0,1,0,1,2107.5
136,Maruti Alto LXi BSIII,Chennai,2010,94385,Second,5.0,1.6,23.281830466830467,26.266666666666666,796,46.3,0,1,1,0,6292.333333333333
137,BMW 1 Series 118d Base,Coimbatore,2015,31821,First,5.0,17.22,23.281830466830467,24.211764705882352,1995,143.0,1,0,0,1,3182.1
138,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,First,5.0,6.0,23.281830466830467,25.333333333333332,1199,88.7,0,1,0,1,1200.0
139,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,First,5.0,3.95,23.281830466830467,18.0,1799,130.0,0,1,1,0,6813.692307692308
140,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,First,5.0,17.95,23.281830466830467,22.67058823529412,2143,170.0,1,0,0,1,4087.7272727272725
141,Honda Amaze SX i-DTEC,Kolkata,2014,45044,First,5.0,3.7,23.281830466830467,30.35294117647059,1498,98.6,1,0,1,0,4094.909090909091
142,Maruti Swift VVT VXI,Kochi,2016,34204,First,5.0,5.43,23.281830466830467,29.333333333333332,1197,81.8,0,1,1,0,3800.4444444444443
144,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,First,7.0,13.49,23.281830466830467,13.529411764705882,2982,171.0,1,0,1,0,7018.076923076923
145,Chevrolet Beat LT Option,Pune,2014,38800,First,5.0,2.85,23.281830466830467,24.8,1199,76.8,0,1,1,0,3527.2727272727275
146,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,First,5.0,4.75,23.281830466830467,24.870588235294118,1498,103.52,1,0,1,0,6916.666666666667
147,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,First,5.0,9.9,23.281830466830467,27.64,1373,91.1,0,1,1,0,5897.571428571428
148,Audi RS5 Coupe,Mumbai,2013,23000,First,4.0,37.0,128.0,14.733333333333334,2894,444.0,0,1,0,1,1916.6666666666667
149,BMW 3 Series Luxury Line,Mumbai,2014,48000,First,5.0,26.5,60.88,25.6,1995,190.0,1,0,0,1,4363.636363636364
150,Audi A4 2.0 TDI 177 Bhp Premium Plus,Coimbatore,2015,48214,First,5.0,23.32,23.281830466830467,20.129411764705882,1968,174.33,1,0,0,1,4821.4
151,Maruti Swift VDI,Chennai,2016,35000,First,5.0,6.25,23.281830466830467,26.941176470588236,1248,74.0,1,0,1,0,3888.8888888888887
152,Mercedes-Benz S Class 2005 2013 S 500,Kolkata,2010,35277,First,5.0,30.0,23.281830466830467,10.413333333333332,5461,362.9,0,1,0,1,2351.8
153,Skoda Rapid 1.5 TDI AT Elegance Plus Black Package,Coimbatore,2016,54620,First,5.0,9.86,23.281830466830467,25.482352941176472,1498,103.52,1,0,0,1,6068.888888888889
154,Skoda Superb Elegance 2.0 TDI CR AT,Pune,2012,136997,First,5.0,8.5,23.281830466830467,20.235294117647058,1968,138.1,1,0,0,1,10538.23076923077
155,Hyundai EON Magna Plus,Kochi,2019,14322,First,5.0,4.23,23.281830466830467,28.133333333333336,814,55.2,0,1,1,0,2387.0
156,Volkswagen Polo Diesel Trendline 1.2L,Jaipur,2012,65634,First,5.0,3.5,23.281830466830467,25.96470588235294,1199,73.9,1,0,1,0,5048.7692307692305
157,Datsun GO NXT,Kolkata,2016,6000,First,5.0,2.5,23.281830466830467,27.506666666666664,1198,67.06,0,1,1,0,666.6666666666666
158,Honda Brio S MT,Kolkata,2013,33280,First,5.0,2.39,23.281830466830467,25.866666666666664,1198,86.8,0,1,1,0,2773.3333333333335
159,Mercedes-Benz B Class B180,Delhi,2013,29000,First,5.0,11.25,23.281830466830467,19.733333333333334,1595,120.7,0,1,0,1,2416.6666666666665
160,Honda City i DTEC V,Kochi,2015,42831,First,5.0,7.11,23.281830466830467,30.58823529411765,1498,98.6,1,0,1,0,4283.1
161,Toyota Innova 2.5 G (Diesel) 7 Seater,Ahmedabad,2016,90000,First,7.0,10.9,23.281830466830467,15.282352941176471,2494,100.6,1,0,1,0,10000.0
162,Maruti Swift VXI Optional,Ahmedabad,2017,24005,First,5.0,6.2,23.281830466830467,27.2,1197,81.8,0,1,1,0,3000.625
163,Mahindra XUV500 W8 2WD,Mumbai,2012,32792,First,7.0,7.9,23.281830466830467,17.764705882352942,2179,140.0,1,0,1,0,2522.4615384615386
164,Ford Ecosport 1.5 DV5 MT Ambiente,Kochi,2014,147898,First,5.0,4.42,23.281830466830467,26.705882352941178,1498,89.84,1,0,1,0,13445.272727272728
165,Toyota Fortuner 4x2 Manual,Mumbai,2012,131765,First,7.0,13.5,23.281830466830467,15.294117647058824,2982,168.5,1,0,1,0,10135.76923076923
166,Volkswagen Vento 1.5 Highline Plus AT 16 Alloy,Chennai,2013,65000,First,5.0,6.25,23.281830466830467,25.294117647058822,1498,108.5,1,0,0,1,5416.666666666667
167,Ford Figo Diesel Titanium,Jaipur,2010,66123,Second,5.0,2.1,23.281830466830467,23.529411764705884,1399,68.0,1,0,1,0,4408.2
168,BMW X5 xDrive 30d,Mumbai,2015,41000,First,5.0,45.0,23.281830466830467,18.0,2993,258.0,1,0,0,1,4100.0
169,Mercedes-Benz New C-Class C 220 CDI Style,Coimbatore,2017,23550,First,5.0,33.66,23.281830466830467,22.67058823529412,2143,167.62,1,0,0,1,2943.75
170,Honda Brio V MT,Bangalore,2012,45000,Second,5.0,3.65,23.281830466830467,25.866666666666664,1198,86.8,0,1,1,0,3461.5384615384614
171,Hyundai i10 Magna 1.2,Delhi,2013,60000,First,5.0,2.75,23.281830466830467,27.146666666666665,1197,78.9,0,1,1,0,5000.0
172,Mercedes-Benz GLC 220,Bangalore,2016,44414,First,5.0,42.5,23.281830466830467,21.058823529411764,2143,170.0,1,0,0,1,4934.888888888889
173,Hyundai Grand i10 1.2 Kappa Asta,Kolkata,2019,1000,First,5.0,6.5,7.39,25.2,1197,81.86,0,1,1,0,166.66666666666666
174,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2012,62500,Second,5.0,19.0,23.281830466830467,20.8,1968,174.33,1,0,0,1,4807.692307692308
175,Volkswagen Vento Petrol Highline AT,Mumbai,2013,21000,Second,5.0,4.45,23.281830466830467,19.2,1598,103.6,0,1,0,1,1750.0
176,Mini Countryman Cooper D,Jaipur,2017,8525,Second,5.0,23.0,23.281830466830467,19.529411764705884,1998,112.0,1,0,0,1,1065.625
177,Hyundai i20 Asta 1.4 CRDi,Bangalore,2014,29000,First,5.0,8.35,23.281830466830467,26.517647058823528,1396,88.73,1,0,1,0,2636.3636363636365
178,Audi A6 2011-2015 2.0 TDI Premium Plus,Mumbai,2014,40000,First,5.0,22.95,23.281830466830467,20.8,1968,174.33,1,0,0,1,3636.3636363636365
179,Chevrolet Beat Diesel LT,Jaipur,2012,88000,First,5.0,1.5,23.281830466830467,29.929411764705886,936,57.6,1,0,1,0,6769.2307692307695
180,Skoda Superb Elegance 1.8 TSI AT,Kochi,2012,53537,First,5.0,6.89,23.281830466830467,18.266666666666666,1798,157.75,0,1,0,1,4118.2307692307695
181,Ford Fiesta 1.4 TDCi EXI Limited Edition,Chennai,2006,216000,Second,5.0,1.45,23.281830466830467,20.941176470588236,1399,68.0,1,0,1,0,11368.421052631578
182,BMW 5 Series 520d Luxury Line,Hyderabad,2014,51000,First,5.0,33.5,69.47,26.447058823529414,1995,190.0,1,0,0,1,4636.363636363636
